parent_id,cell_type,cNCC_score,SPC_score
1,other,0.0,0.0
9,other,0.0,0.0
11,other,0.0,0.0
13,cNCC,3.0385717575478584,0.0
20,other,0.0,0.0
51,other,0.0,0.0
72,other,0.0,0.0
112,other,0.0,0.0
119,other,0.0,0.0
124,other,0.0,0.0
127,other,0.0,0.0
152,other,0.0,0.0
176,other,0.0,0.0
181,other,0.0,0.0
192,other,0.0,0.0
198,other,0.0,0.0
224,other,0.0,0.0
258,other,0.0,0.0
267,other,0.0,0.0
299,other,0.0,0.0
340,other,0.0,0.0
381,other,0.0,0.0
448,other,0.0,0.0
469,other,0.0,0.0
496,other,0.0,0.0
499,other,0.0,0.0
517,other,0.0,0.0
564,other,0.0,0.0
565,other,0.0,0.0
591,other,0.0,0.0
592,other,0.0,0.0
599,other,0.0,0.0
606,other,0.0,0.0
607,other,0.0,0.0
612,other,0.0,0.0
652,other,0.0,0.0
715,other,0.0,0.0
779,other,0.0,0.0
818,other,0.0,0.0
829,other,0.0,0.0
837,other,0.0,0.0
846,other,0.0,0.0
922,other,0.0,0.0
957,other,0.0,0.0
997,other,0.0,0.0
1059,other,0.0,0.0
1116,other,0.0,0.0
1164,other,0.0,0.0
1313,other,0.0,0.0
1324,other,0.0,0.0
1356,other,0.0,0.0
1411,other,0.0,0.0
1469,other,0.0,0.0
1474,other,0.0,0.0
1525,other,0.0,0.0
1552,other,0.0,0.0
1607,other,0.0,0.0
1706,other,0.0,0.0
1829,other,0.0,0.0
2196,other,0.0,0.0
2372,other,0.0,0.0
2399,other,0.0,0.0
2745,other,0.0,0.0
2975,other,0.0,0.0
3063,other,0.0,0.0
3107,other,0.0,0.0
3380,other,0.0,0.0
