gene,spotX,spotY,parent_id,parent_prob
PAM,3919.972,1701.333,8233,0.1
MYOZ2,3933.727,1713.455,8233,0.1414213562373095
PAM,3919.667,1715.389,8233,0.6800735254367722
MYOZ2,3915.108,1716.649,8233,0.7778174593052023
NPPA,3984.474,1724.031,10562,0.5408326913195984
NPPA,3957.845,1731.379,10562,0.6264982043070834
NPPA,3994.179,1731.893,10562,0.9513148795220224
NPPA,3931.682,1732.5,8233,0.917877987534291
TPM1,3937.723,1735.17,8233,0.9617692030835672
SLC8A1,3977.692,1734.877,10562,0.894427190999916
MYH6,3952.698,1739.226,10562,1.0
MYH6,3957.0,1737.474,10562,0.9192388155425116
PAM,3973.361,1739.972,10562,1.0
PAM,3908.75,1742.583,8233,1.0
LDB3,3960.105,1749.163,10562,1.0
NPPA,3900.816,1749.571,8233,1.0
NPPA,3983.2,1754.175,10562,1.0
MYH6,3906.8,1755.225,8233,1.0
MYBPC3,3889.889,1754.889,8233,1.0
MYOM1,3977.068,1756.593,10562,1.0
TBX5,3966.813,1759.719,10562,1.0
NPPA,3881.163,1764.558,8233,1.0
TBX5,3887.926,1767.111,8233,1.0
NPPA,3873.0,1767.875,8233,0.5852349955359812
PAM,3898.423,1769.692,8233,1.0
MYH6,3979.65,1771.75,10562,1.0
PAM,3972.172,1772.448,10562,1.0
PTN,3872.489,1773.889,8233,0.447213595499958
MYBPC3,3966.815,1775.13,10562,1.0
MYBPC3,3892.333,1775.537,8233,1.0
NPPA,3916.737,1775.447,8233,0.986154146165801
NPPA,3913.773,1778.364,8233,1.0
NPPA,3888.444,1784.747,8233,0.8139410298049853
NPPA,3953.0,1789.679,10562,0.7762087348130012
NPPA,3911.696,1791.137,8233,1.0
NPPA,3899.703,1791.432,8233,1.0
MYOM1,3906.5,1800.5,8233,0.8902246907382428
NPPA,3895.29,1801.464,8233,0.4924428900898052
PAM,3941.6,1813.925,1673,1.0
NPPA,3946.545,1819.227,1673,1.0
MYBPC3,3967.375,1818.9,1673,1.0
NPPA,3905.333,1821.952,1673,0.8514693182963201
NPPA,3885.556,1823.87,1673,0.1581138830084189
MYOM1,3924.5,1823.5,1673,1.0
PAM,3951.513,1823.897,1673,1.0
NPPA,3894.829,1826.9,1673,0.6264982043070834
PAM,3962.227,1827.023,1673,1.0
NPPA,3972.297,1829.865,1364,1.0
NPPA,3889.635,1831.365,1673,0.4924428900898052
MYBPC3,3963.979,1832.596,1673,1.0
NPPA,3948.962,1836.481,1673,1.0
NPPA,3906.23,1837.23,1673,1.0
NPPA,3934.394,1837.379,1673,1.0
NPPA,3986.15,1838.225,1364,1.0
HSPB7,3889.0,1839.556,1673,0.5700877125495689
NPPA,3922.013,1843.934,1673,1.0
NPPA,3929.028,1844.5,1673,1.0
NPPA,3970.689,1842.705,1364,1.0
MYH6,3977.09,1844.403,1364,1.0
NPPA,3983.111,1842.778,1364,1.0
NPPA,3911.761,1844.957,1673,1.0
MFAP2,3992.318,1847.182,1364,1.0
MYH6,3943.5,1848.5,1673,1.0
MYH6,3940.097,1851.081,1673,1.0
MFAP2,3994.091,1850.773,1364,1.0
TBX5,3990.282,1853.308,1364,1.0
PAM,3895.5,1854.5,1673,1.0
NPPA,3935.951,1855.59,1673,1.0
NPPA,3923.0,1855.0,1673,1.0
PAM,3979.52,1854.32,1364,1.0
PAM,3971.02,1858.755,1673,1.0
MYOZ2,3961.39,1860.763,1673,1.0
NPPA,3992.243,1860.541,1364,1.0
MYOZ2,3865.792,1862.358,5395,0.9340770846134704
MYH6,3956.984,1866.641,1673,1.0
